Unnamed: 0,channel_title,title,description,published,tag_count,view_count,viewer_percentage,estimated_min_watched,avg_view_duration,avg_view_percentage,like_count,dislike_count,share_count,comment_count,duration_str,duration_num,aud_watch_ratio,relative_retention_performance,title_length,reactions,tags
0,Yoga With Adriene,Dedicate - A 30 Day Yoga Journey - Yoga With Adriene,"Get ready to transform tired energy into useful energy! Invite change, beckon growth, and discover your own unique rhythm.

Work your body, open your mind, and return to your heart.

You’ll get a workout, you’ll gain awareness.

Be prepared to not only see but feel massive results.


Practice
        paying attention
        building muscle
        cultivating joint stability
        improving body function
        increasing clarity of mind
        stimulating stagnant energy
        resolving stress
        tuning in to your natural rhythm
        relaxing
        enjoying
        having fun


It’s free. All of it. No catch. No expiration date. 

Share with your friends and family over the holiday! Get everyone involved! The more people practicing yoga, the better.

- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2018-12-23T00:02:46Z,25,1610945,0,0,0,0,21383,0,0,1483,05:43:00,5.716666666666667,0,0,52,24349,"yoga,yoga with adrienne,yoga at home,free yoga,adriene mishler,online yoga,free yoga videos,30 days of yoga,30 day yoga challenge,30 day challenge,true 30 days of yoga,at home yoga,online yoga class,home yoga practice,adrienne mishler,total body yoga,yoga for weight loss,morning yoga,beginners yoga,power yoga,yoga with adriene 30 days of yoga,yoga (sport),yoga for strength,yoga for transformation,yoga for athletes"
1,Yoga With Adriene,Dedicate - Day 0 - Welcome To Dedicate |  Yoga With Adriene,"Welcome to Dedicate! This video is the official kick off for your 30 Day Yoga Journey! In this short orientation video I share my top three tips for success with the program. Use today to set an intention and prepare for the journey ahead. You have already said yes to dedicating this time to tone muscle, improve mobility, clear your mind and focus inward. 

If you are healing from an injury or brand new to yoga - you can do this program. You will just need to modify, as will every single one of us at some point on the journey. 

This is a 30 Day Journey about uncovering your authentic self. It’s not about re-creating, emulating or copying someone else. Trust me, trust your self. You just get your butt to the mat and together we will find the rest. I promise.

The practices in this program are absolutely suitable for pregnant women with the use of some modifications. Avoid twists and core work and always ask your doctor for advice based on where you are in your pregnancy. I advise that when in doubt, you supplement your twists and core work with slow and loving breathing. 

#YWADedicate

- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-01T06:00:00Z,22,873305,0,0,0,0,24944,0,0,1505,04:08:00,4.133333333333333,0,0,59,27954,"30 day yoga challenge,30 day yoga challenges,30 day yoga challenges beginner,dedicate 30 days,30 days of yoga day 1,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,30 days of yoga,yoga with adriene 30 days of yoga,true 30 days of yoga,30 day challenge,yoga for weight loss,morning yoga,beginners yoga,online yoga class,yoga workout,total body yoga"
2,Yoga With Adriene,Dedicate - Day 1 - Discern  |  Yoga With Adriene,"Welcome to your Day 1 Dedicate practice! This full length yoga session invites you to take the necessary time to drop in and focus on essential vocabulary that you will take with you for the whole 30 days. Set the tone for your journey as we DISCERN or recognize your reason for showing up. 

The hardest part is showing up. This loving, informative and foundational practice will ease you in nicely.

We are doing this! 

#ywaDEDICATE

- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-02T06:00:00Z,22,2785788,0,0,0,0,41626,0,0,4903,1900-01-02 01:15:00,49.25,0,0,48,51432,"30 day yoga challenge,yoga challenge,30 day yoga,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,full length yoga,full body yoga,yoga workout,full yoga class"
3,Yoga With Adriene,Dedicate - Day 2 - Foundation  |  Yoga With Adriene,"Welcome to your Day 2 Dedicate practice! In this session, we focus on all aspects of the yogic foundation to equip you with the essential tools and sensibility to welcome transformation and take responsibility for your total well-being. This session focuses on action, alignment, and energetic awareness to set you up to have a sustainable and meaningful home practice that serves. 

Let us know how it goes down below! Namaste! 
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-03T06:00:03Z,27,1621508,0,0,0,0,22226,0,0,2324,1900-01-01 15:36:00,39.599999999999994,0,0,51,26874,"30 day yoga challenge,30 days of yoga,30 day yoga,yoga challenge,fitness,yoga with adriene 30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,dedicate,foundation,full yoga class,yoga (sport),true 30 days of yoga,online yoga class,total body yoga,30 days of yoga camp,at home yoga"
4,Yoga With Adriene,Dedicate - Day 3 - Observe  |  Yoga With Adriene,"Welcome to your Day 3 Dedicate practice! Our 30 Days Of Yoga series continues - workshop style - setting you up for a strong, fulfilling sustainable home practice. Day 3 invites you to reside in the role of the observer. Stick with this practice and you will have everything you need to get to Day 30. Learn to be present with whatever comes your way. 

Let me know how it goes in the comment section down below. Tomorrow's practice runs shorter and the pace picks up as we move along. The hardest part is showing up. You are doing great! Namaste. 
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-04T06:00:04Z,29,1270942,0,0,0,0,17688,0,0,2224,1900-01-01 10:43:00,34.71666666666667,0,0,48,22136,"yoga challenge,30 day yoga,30 day yoga challenge,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,dedicate day 3,dedicate 30 days,yoga life,yoga every damn day,meditation,yoga for well being,yoga with adriene,yogi,yoga journal,yoga therapy,yoga practice"
5,Yoga With Adriene,Dedicate - Day 4 - Feel  |  Yoga With Adriene,"Welcome to your Day 4 Dedicate Practice! This 20 min low-to-the-ground session invites you to focus on sensation. We will tend to the shoulders, the spine, the hamstrings, and then end with a gentle core wake up. Keep asking ""How does it feel?"" 

You are doing great! Let us know how you are feeling down in the comment section below! 

- - - - - -


#30daysofyoga #ywadedicate #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-05T06:00:05Z,28,1152881,0,0,0,0,16999,0,0,1660,22:13:00,22.21666666666667,0,0,45,20319,"yoga challenge,30 day yoga,30 day yoga challenge,total body yoga,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,yoga with adriene,yoga for back pain,meditation,yoga workout,yoga stretching,at home yoga,morning yoga,online yoga class,yoga (sport)"
6,Yoga With Adriene,Dedicate - Day 5 - Flow  |  Yoga With Adriene,"Welcome to your Day 5 Dedicate practice! This 28-minute practice focuses on the marriage of movement and breath to help guide you to a balanced flow state. 

The journey continues. Enjoy the pace of these early days, gather everything you need to move with intention, and go with the flow! Trust the practice, trust the process, and remember to enjoy! I will see you tomorrow! 

Let us know how you are feeling in the comment section down below! 

Namaste! 

- - - - - -


#30daysofyoga #ywadedicate #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-06T06:00:01Z,30,1158667,0,0,0,0,17982,0,0,2880,1900-01-01 04:46:00,28.766666666666666,0,0,45,23742,"yoga challenge,30 day yoga,30 day yoga challenge,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,vinyasa yoga,yoga flow,yoga flow for strength,sun salutation,yogi,yoga life,yoga with adriene,wellness,yoga workout,health,meditation,yoga for mental health"
7,Yoga With Adriene,Dedicate - Day 6 - Core   |   Yoga With Adriene,"Welcome to your Day 6 Dedicate practice! Today's 28-minute yoga session focuses on strengthening your core. Need I say more? Implement your vocabulary thus far to make the most of your time on the mat today. 

Pregnant? Try subbing with this Heart & Hips practice for today's session. https://yogawithadriene.com/heart-and-hips-yoga/

Let us know how you are feeing in the comment section below! See you tomorrow for Day 7!

 - - - - - -


#30daysofyoga #ywadedicate #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-07T06:00:03Z,27,1122478,0,0,0,0,17221,0,0,2649,1900-01-01 04:14:00,28.233333333333334,0,0,47,22519,"yoga challenge,30 day yoga,30 day yoga challenge,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,core power yoga,core workout,yoga core,yoga for abs,6 pack abs,yoga for strong core,abdominal workout,yoga workout,yoga with adriene"
8,Yoga With Adriene,Dedicate - Day 7 - Surya  |  Yoga With Adriene,"Welcome to your Day 7 Dedicate practice! Today we honor Surya, the sun, finding a good stretch, the perfect rinse, and the welcoming of CLARITY. 

This 17-minute session is the perfect remedy after your Day 6 practice too! Go at it with gentle ease. Soften the shell. 
Salute the sun. Feel out each gesture with an inquisitiveness. 

Let us know how you are feeling the comment section down below! 


- - - - - -


#30daysofyoga #ywadedicate #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become an FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one-of-a-kind global community. This is your one-stop shop for yoga, creativity, wellness, and all things FWFG.

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-29T18:21:40Z,27,163562,0,0,0,0,2667,0,0,174,17:01:00,17.016666666666666,0,0,46,3015,"yoga challenge,30 day yoga,30 day yoga challenge,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,dedicate,sun salutations,yoga flow,vinyasa yoga flow,total body yoga,yoga with adriene,yoga for strength,yoga for back pain,surya namaskar"
9,Yoga With Adriene,Dedicate - Day 8 - Meditate  |  Yoga With Adriene,"Welcome to your Dedicate Day 8 practice! One week in the books! 

It’s day 8 and today’s gentle moving meditation yoga practice is a real treat. A comforting hug. 
An opportunity to stretch, release, calm, rejuvenate, and restore. Bring a pillow and a towel or blanket if you have one. Enjoy!

Let me know how you are feeling in the comment section down below! 

Namaste.

- - - - - -


#30daysofyoga #ywadedicate #homeyoga

  
- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2019-01-09T06:00:01Z,23,920639,0,0,0,0,15001,0,0,2591,1900-01-01 04:01:00,28.016666666666666,0,0,49,20183,"yoga challenge,30 day yoga,30 day yoga challenge,fitness,yoga with adriene 30 days of yoga,30 days of yoga,yoga revolution,yoga for weight loss,new year new you,yoga for beginners,beginners yoga,yoga,yoga at home,free yoga,yoga with adrienne,adriene mishler,online yoga,free yoga videos,restorative yoga,gentle yoga,yin yoga,yoga for relaxation,yoga for stress relief"
