Unnamed: 0,channel_title,title,description,published,tag_count,view_count,viewer_percentage,estimated_min_watched,avg_view_duration,avg_view_percentage,like_count,dislike_count,share_count,comment_count,duration_str,duration_num,aud_watch_ratio,relative_retention_performance,title_length,reactions,tags
0,Yoga With Adriene,Home - Day 0 - Welcome Home  |  30 Days of Yoga With Adriene,"Get ready to step inside and see what it feels like to be at home. 

Today’s 6 min orientation video offers some tips and support as we prepare for 30 Days Of Yoga. You can experience this video on the couch, in bed, or on the mat. Watch till the end! The yoga practice starts with Day 1 tomorrow.

This is designed for us. All of us. To come together as we are. To uncover aspects of ourselves that are already within, and celebrate who we really are. Trust me, trust yourself, the map is already within you. 

Prepare to work hard, get strong, find ease, and have fun! 

READ more in my daily HOME email. Sign up at www.ywaHOME.com

Let me know how you are feeling and where you will be practicing from in the comment section down below! 

There is no place like home, namaste.

#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - - 

🇪🇸For Home en español: Día 0 | Bienvenido a HOME | 30 Días de Yoga Con Adriene: https://youtu.be/qN8sljcXl2k

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-01T06:00:02Z,27,4053135,0,0,0,0,54102,0,0,3610,06:08:00,6.133333333333333,0,0,60,61322,"home 30 day yoga journey,ywahome,home yoga practice,yoga at home,at home yoga,30 day yoga,30 day challenge,30 days of yoga,30 day yoga challenge,yoga with adriene 30 days of yoga,true 30 days of yoga,30 days of yoga camp,full yoga class,yoga for weight loss,free yoga videos,morning yoga,yoga for beginners,beginners yoga,yoga,free yoga,yoga with adrienne,adriene mishler,online yoga,dedicate,yoga practice,yoga (sport),austin yoga instructor"
1,Yoga With Adriene,Home - Day 1 - Recognize  |  30 Days of Yoga With Adriene,"Yoga provides us the tools for getting to know who we really are. This journey is about reuniting with your self through regular practice. Through the process of getting to know who you really are, you will find that you need not prioritize the where, or the what, as much. 

You just have to be brave enough to look inside and recognize who it is you see.

The opportunity is to be who you are and recognize where you are, today.  

The choice is to do it honestly and with kindness. 

In our first practice, we apply this to asana and open up to the postures serving as opportunities to make discoveries. 

We ease in with a powerful practice of observation and recognition. 

This is your longest class of the series, one in which sets the tone. 

Let me know how it goes for you in the comment section down below. 

Share your experience with #ywaHOME

From my home to yours, 

Namaste.

***READ more*** in my daily HOME email designed to lift you and support you every step of the way. Sign up at www.ywaHOME.com

Sign up for my daily emails that correspond with the practice, receive your free HOME calendar, and invite a friend to join: www.ywahome.com

Have a question? Visit the FAQ page: https://help.fwfg.com
  
- - - - - - - - - -

🇪🇸For Home en español: HOME Día 1 | Reconocer | 30 Días de Yoga Con Adriene: https://youtu.be/FNtwTXxQemo 

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-02T06:00:00Z,28,6344117,0,0,0,0,84401,0,0,7056,1900-01-01 19:11:00,43.18333333333333,0,0,57,98513,"home 30 day yoga journey,ywahome,day one,home yoga practice,yoga at home,at home yoga,30 day challenge,30 day yoga,30 day yoga challenge,yoga with adriene 30 days of yoga,true 30 days of yoga,30 days of yoga,30 days of yoga camp,adriene mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga,yoga (sport),yoga for beginners,yoga for weight loss,yoga practice,yoga with adrienne"
2,Yoga With Adriene,Home - Day 2 - Intend  |  30 Days of Yoga With Adriene,"In our Day 2 session, we take the proper time to add a layer of intention and consider this part of the foundation. Cultivate a relationship with intention and learn to let it guide the way. 

Your intention has the power to directly influence the quality of your practice and your connection to yourself. Pro-tip - make your breath a priority. 

Learning to be disciplined about intention brings purpose to your practice. 

It also keeps your body safe, your mind more at ease, and opens up the gates for whatever you are moving toward - to come and meet you, just where you are. 

When this happens you may find yourself feeling more aligned with the process, and in a happy flow state - no matter what your day is like or what exactly goes down on the yoga mat. 

Let me know how it goes for you in the comment section down below. 

Share your experience with #ywaHOME

Sign up for my daily emails that correspond with the practice, receive your free HOME calendar, and invite a friend to join: www.ywahome.com

Have a question? Visit the FAQ page: https://help.fwfg.com

#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - - 

🇪🇸 For Home en español: HOME Día 2 | Intentar | 30 Días de Yoga Con Adriene: https://youtu.be/ftfHDObTS5M

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-03T06:00:05Z,27,3568315,0,0,0,0,45038,0,0,3482,1900-01-01 04:16:00,28.266666666666666,0,0,54,52002,"home 30 day yoga journey,ywahome,home day 2,yoga at home,home yoga practice,30 day yoga challenge,30 day yoga,30 day challenge,30 days of yoga,30 days of yoga camp,adriene mishler,at home yoga,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,true 30 days of yoga,yoga,yoga for beginners,yoga for weight loss,yoga practice,yoga with adriene 30 days of yoga,yoga with adrienne"
3,Yoga With Adriene,Home - Day 3 - Awaken  |  30 Days of Yoga With Adriene,"It’s Day 3 and in this session, we jump right in with all the right gestures and questions. 
What, if anything, is lying dormant or inactive?
Are there things you are capable of but you have not embodied or seen to fruition yet?
As the great teachers before us remind: the mat is a mirror. 
Today’s yoga offers a way to wake up and uncover. 
But please, dear friend, take this with you…
Awakening is a process. 

Awaken a fire, a kindness, your magnetic presence, stir stagnant energy. 
Your inner world awaits! Be patient with short muscles and stiff joints. 
This practice includes one of my favorite tools for moving energy and getting out of a funk.

Let me know how it goes for you in the comment section down below. 

Share your experience with #ywaHOME

Sign up for my daily emails that correspond with the practice, receive your free HOME calendar, and invite a friend to join: www.ywahome.com

Have a question? Visit the FAQ page: https://help.fwfg.com

#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - - 

🇪🇸 For Home en español: Home Día 3 | Despertar | 30 Días de Yoga con Adriene: https://youtu.be/tRHTwt5Vgq8

- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-04T06:00:04Z,28,3046442,0,0,0,0,38316,0,0,3204,1900-01-01 01:59:00,25.983333333333334,0,0,54,44724,"home 30 day yoga journey,ywahome,home yoga practice,yoga at home,home day 3,day 3,yoga with adriene 30 days of yoga,30 day yoga challenge,30 day challenge,30 days of yoga,30 day yoga,30 days of yoga camp,true 30 days of yoga,adriene mishler,at home yoga,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga,yoga for beginners,yoga for weight loss,yoga practice,yoga with adrienne"
4,Yoga With Adriene,Home - Day 4 - Activate  |  30 Days of Yoga With Adriene,"Activate your energy centers and introduce an overall awareness of the energetic body. This is a key player on this journey HOME. Activating is part of the awakening process. 

For me, when I activate my breath, I am awakening to my true spirit. From awareness of my breath, I keep going, working to bring action and awareness to my feet, my midline, my abdominals, my glutes, you name it. 

Devote to this practice and you might just activate your damn truth and abundance. Or, at least you will continue to lay the foundation for a fulfilling, sustainable at-home practice.

Stay open! This flow is a practice that takes you through the alignment and activation of the entire body. Enjoy!

Let me know how it goes for you in the comment section down below. 

Share your experience with #ywaHOME

#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - - 

🇪🇸 For Home en español: Home | Día 4 | Activar | 30 Días de Yoga con Adriene: https://youtu.be/d4106Pe5-mo

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-05T06:00:00Z,27,2657302,0,0,0,0,32812,0,0,2745,22:21:00,22.35,0,0,56,38302,"Home 30 Day Yoga Journey,home yoga,ywahome,home yoga practice,yoga at home,at home yoga,30 day yoga challenge,30 days of yoga,30 day challenge,30 day yoga,30 days of yoga camp,true 30 days of yoga,Adriene Mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga for weight loss,yoga for beginners,yoga practice,yoga with Adrienne,home day 4,day 4"
5,Yoga With Adriene,Home - Day 5 - Soften  |  30 Days of Yoga With Adriene,"In today’s yoga practice we ask, “Am I working harder than I need to?” There is some work today. (You have to wait till Day 8 for a total RELAX.)

You are working, but not any harder than you need to. See if you can let your breath do some of the heavy lifting today. Experiment.

Learn to soften around hard edges. Practice softening in hard times. 

Can a rise of a breath guide you into a pose?

With regular practice, I start to experience a feeling in which I am living in a body that is working for me, rather than against. Pro-tip: activate your breath - and let it do the work for you. 

Let me know how it goes for you in the comment section down below. 

Share your experience with #ywaHOME

#ywahome   #30DaysofYoga   #freeyoga   
- - - - - - - - - - 

🇪🇸 For Home en español: Home | Día 5 | Relajar | 30 Días de Yoga Con Adriene: https://youtu.be/Uqj4XiLmbbo

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-06T06:00:03Z,27,2472803,0,0,0,0,32146,0,0,2412,1900-01-01 02:12:00,26.199999999999996,0,0,54,36970,"Home 30 Day Yoga Journey,home yoga,ywahome,home yoga practice,yoga at home,at home yoga,home day 5,day 5,30 day yoga challenge,30 days of yoga,30 day challenge,30 day yoga,30 days of yoga camp,true 30 days of yoga,Adriene Mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga for weight loss,yoga for beginners,yoga practice,yoga with Adrienne"
6,Yoga With Adriene,Home - Day 6 - Ignite  |  30 Days of Yoga With Adriene,"Your Day 6 yoga is the ultimate core power practice. You are a lot stronger than you think. This is a process! Trust it. Utilize the tools that we have introduced thus far, starting with your breath. This practice includes a lot of philosophy to ignite more than just a fire in the core muscles of the body. 
In the midst of a targeted core practice, who knew you could learn and love so hard? Prioritize that. 

This core strength session is all about valuing presence over outcome. 
Be present with what is. This is what the yoga practice lovingly asks of us. 

This session may not be easy. It really is not designed to be. 
I talk about why at the end of the practice. 

Choose to have fun!

Let me know how it goes for you in the comment section down below. 
Share your experience with #ywaHOME

#ywahome   #30DaysofYoga   #freeyoga   
  

- - - - - - - - - - 

🇪🇸 For Home en español: Home | Día 6 | Encender | 30 Días de Yoga Con Adriene: https://youtu.be/hazXj9Dx-vE

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-07T06:00:09Z,25,2420824,0,0,0,0,34894,0,0,5357,1900-01-01 01:32:00,25.53333333333333,0,0,54,45608,"Home 30 Day Yoga Journey,home yoga,ywahome,home yoga practice,yoga at home,at home yoga,30 day yoga challenge,30 days of yoga,30 day challenge,30 day yoga,30 days of yoga camp,true 30 days of yoga,Adriene Mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga for weight loss,yoga for beginners,yoga practice,yoga with Adrienne"
7,Yoga With Adriene,Home - Day 7 - Stretch  |  30 Days of Yoga With Adriene,"Your Day 7 yoga practice begins with a little self-massage and yoga philosophy - so if you were thinking about missing today’s practice - don’t. This hands-free session offers an opportunity to re-balance the body after your first six practices, providing relief in the shoulders and wrists while initiating grounding energy to help you get in the right mindset for week two.

This is not just the bendy stretchy stretch practice you might anticipate. No way, we said we were going all the way HOME. 

Stretch your mind’s eye, your imagination, and your awareness a little further beyond the physical body today. 

(Don’t fret, your body will get a nice opportunity to stretch it out too.)

Let me know how it goes for you in the comment section down below. 
Share your experience with #ywaHOME

#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - - 

🇪🇸 For Home en español: Home | Día 7 | Estirar | 30 Días de Yoga con Adriene: https://youtu.be/4XdKe4zrDqI

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-08T06:00:07Z,25,2589176,0,0,0,0,29558,0,0,2948,1900-01-01 01:48:00,25.799999999999997,0,0,55,35454,"Home 30 Day Yoga Journey,home yoga,ywahome,home yoga practice,yoga at home,at home yoga,30 day yoga challenge,30 days of yoga,30 day challenge,30 day yoga,30 days of yoga camp,true 30 days of yoga,Adriene Mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga for weight loss,yoga for beginners,yoga practice,yoga with Adrienne"
8,Yoga With Adriene,Home - Day 8 - Heal  |  30 Days of Yoga With Adriene,"It is easy to spot and own our physical wounds. But our emotional wounds seldom get the attention they need for real healing. Innately we know, even if you don’t understand, that it’s all connected. Yet, we often feel we lack the time, space, and tools to sincerely tend to what ails. At-home yoga provides us an opportunity to heal ourselves. To seek and work to find a way to check-in, recover, restore, and begin again - each time we show up. 

Today’s low to the ground moving meditation reminds you that your only task is to listen and respond. 

And to be honest about it. 

I hope you enjoy this session and find a moment to relax whatever might be gripping, to let go of that which is no longer serving you, and to Find What Feels Good. 

Bring a blanket and a pillow, if you have them at hand. 
Let me know how it goes for you in the comment section down below!

#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - - 

🇪🇸 For Home en español: Home | Día 8 | Sanar | 30 Días de Yoga con Adriane: https://youtu.be/yCO21o8Tjgw

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-09T06:00:05Z,25,1962052,0,0,0,0,27264,0,0,3480,1900-01-01 02:29:00,26.483333333333334,0,0,52,34224,"Home 30 Day Yoga Journey,home yoga,ywahome,home yoga practice,yoga at home,at home yoga,30 day yoga challenge,30 days of yoga,30 day challenge,30 day yoga,30 days of yoga camp,true 30 days of yoga,Adriene Mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga for weight loss,yoga for beginners,yoga practice,yoga with Adrienne"
9,Yoga With Adriene,Home - Day 9 - Inquire  |  30 Days of Yoga With Adriene,"We begin week two highlighting the power of self-inquiry. Consider the idea that our practice is not one of “doing,” or one of imminent mastery, but rather one of self-study. This is key for the journey HOME. 

What feels good? What doesn’t? What feels honest?
Can we begin to close the gap between how we feel and how we want to feel?
This time is about examining your self. It’s not about doing it right. 

When we approach the practice through the lens of self-study, we find that we have everything we need to both gracefully and fiercely move toward what serves… and to move away from what doesn’t.

Honor your inner voice. Celebrate the learning process. 


#ywahome   #30DaysofYoga   #freeyoga   
  
- - - - - - - - - -

🇪🇸 For Home en español: Home | Día 9 | Preguntar | 30 Días de Yoga Con Adriene: https://youtu.be/zBg9s6GnG-k

- - - - - - - - - -

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

❤️SUBSCRIBE to the YWA channel for free yoga videos every week and to support high-quality free yoga for all! ❤️
https://www.youtube.com/user/yogawithadriene?sub_confirmation=1

- - - - - - - - - - 

🧘🏽♂️🧘♀️Become a FWFG YOGA member! 🧘🏻♂️🧘🏿♀️
https://fwfg.com/?via=adriene
Join Find What Feels Good and access over 700 videos including yoga and meditation for all levels. Explore daily practices, workshops, in-depth learning, weekly or monthly accountability series, and an opportunity to connect with a one of a kind global community. This is your one-stop-shop for yoga, creativity, wellness, and all things FWFG. Try it FREE for 7 Days! 

- - - - - - - - - - 

🗓Get your FREE Yoga Calendar: 🗓
http://yogawithadriene.com/calendar/

- - - - - - - - - - 

More at www.yogawithadriene.com
▶︎ Instagram: @adrienelouise
▶︎ Twitter: @yogawithadriene
▶︎ Facebook: Yoga With Adriene
▶︎ Shop: https://shop.fwfg.com

- - - - - - - - - - 

Music by Shakey Graves: 
https://www.shakeygraves.com

- - - - - - - - - - 

Yoga With Adriene, LLC recommends that you consult your physician regarding the applicability of any recommendations and follow all safety instructions before beginning any exercise program. When participating in any exercise or exercise program, there is the possibility of physical injury. If you engage in this exercise or exercise program, you agree that you do so at your own risk, are voluntarily participating in these activities, assume all risk of injury to yourself.",2020-01-10T06:00:08Z,25,1997090,0,0,0,0,26887,0,0,2123,1900-01-01 02:58:00,26.96666666666667,0,0,55,31133,"Home 30 Day Yoga Journey,home yoga,ywahome,home yoga practice,yoga at home,at home yoga,30 day yoga challenge,30 days of yoga,30 day challenge,30 day yoga,30 days of yoga camp,true 30 days of yoga,Adriene Mishler,austin yoga instructor,beginners yoga,dedicate,free yoga,free yoga videos,full yoga class,morning yoga,online yoga,yoga for weight loss,yoga for beginners,yoga practice,yoga with Adrienne"
