,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"Day 22 I surround myself with positivity, love 💕, abundance and joy. I am happy to have made it to the mat this morning after taking a week off. Here’s to continuing my 100 days of yoga 🧘🏽‍♀️😊",UgyXdYJxHyobx0teRYt4AaABAg,0.0,0.0,2021-11-27T14:13:53Z,0.9997465014457703
1.0,22 on sep 22 yuss,UgwHuwW6-arASKsum494AaABAg,0.0,0.0,2021-09-23T02:20:24Z,-0.5841434001922607
2.0,"How many people say namaste 🙏🏻 sending that wonderful energy towards Adriene, how must it feel to be her getting rewarded for everything she does through good intentions sent from each and every one of us twenty four seven when we spend time on the mat with her, namaste 🙏🏻 Adriene I appreciate you so much.",Ugx4d36tr8p7wka2mch4AaABAg,0.0,1.0,2021-09-20T21:10:36Z,0.999786913394928
3.0,Day 22.... short and sweet!,Ugxb1WyBddpf139uYft4AaABAg,0.0,1.0,2021-08-21T01:27:26Z,0.9997369647026062
4.0,A bit emotional after returning to this after a knee injury and surgery. I was on Day 21 when it happened in late May and here I am ready to finish what I started! Still can’t do child’s pose or low squats but I feel great!,Ugw-o1M54X-n9Cn9B0Z4AaABAg,0.0,0.0,2021-08-11T20:25:27Z,0.9990705847740173
5.0,thank you!!!!!,Ugy_EbuamYuUGE4Ir914AaABAg,0.0,0.0,2021-08-03T22:08:31Z,0.9998663663864136
6.0,"It increased, balanced my energy and deep relaxation. I feel very fresh and calm. That's very good!",UgwrkCI_Lf9VbEvX1Jx4AaABAg,0.0,0.0,2021-07-23T23:29:18Z,0.9998849630355835
7.0,I surround myself with love-with happiness-with friendship-and with yoga😁😁😁,UgxA60pWs2lPy8BRd6N4AaABAg,0.0,2.0,2021-07-14T08:26:16Z,0.999777615070343
8.0,"Had to share this spooky and cool experience! I'm making my way through all the 30-day journeys this year. Yesterday though I tweaked a muscle in my side carrying something in my garden, so I didn't even load YouTube, just got on my mat and found what felt good with 17 minutes of side body stretches, warrior 2, folds, chair, twists. This morning I hit play on Yoga Camp 22 and enjoyed almost exactly the same practice all over again 😂🤯❤️",UgwwGvBUfFegRi_ArAB4AaABAg,0.0,2.0,2021-06-12T06:56:57Z,0.9991140961647034
9.0,"Not for braking. You Are Myne only Yogi...O Master, I AM humble...two be surround by you, O Wisdom, I was told never to leave you. Warned(add-inns that in)MIGHT I add💥🔥💙🕶❤Namaste",UgzfuLdo-4IIOgwx0dd4AaABAg,0.0,0.0,2021-06-05T21:25:46Z,0.9967107772827148
10.0,Likeminds...Dot3,UgwiHL40dXm88juHaPd4AaABAg,0.0,0.0,2021-06-05T21:20:31Z,-0.984624981880188
11.0,"I struggled with ""I am worthy"" the other day. Today I surround myself with self-compassion.",Ugx3aKF8YCbjVbJClKN4AaABAg,0.0,0.0,2021-05-26T15:39:40Z,0.9954144954681396
12.0,I surround my self with positive energy!,UgzXV5FwL7xAhx3foCV4AaABAg,0.0,0.0,2021-05-23T07:18:51Z,0.9998689889907837
13.0,I surround myself with positivity and confidence.,UgxBIIz38ecuJzbP67h4AaABAg,0.0,0.0,2021-04-06T19:26:16Z,0.9998561143875122
14.0,Thank you 🌸,UgwROP3bcS_zSI-jgCt4AaABAg,0.0,0.0,2021-04-01T17:26:08Z,0.9998127818107605
15.0,"Today, after a really long, tiring week, I did this practice and my cat joined, rubbing himself on my arms and legs. But when you said to be kind to ourselves, and show ourselves some love, I started crying. I realised that I haven’t been super kind to myself lately, so thank you for making sure I had the space and time to be kind to myself.",UgwllCNt4-xXZxtKalx4AaABAg,0.0,0.0,2021-03-01T18:28:43Z,0.9912443161010742
16.0,i surround myself with determination (slowly getting thru my degree!). did anyone else's elbows click during the half press-ups?,Ugw3n2nAuGP432GYxJp4AaABAg,0.0,0.0,2021-02-22T20:07:13Z,0.9661589860916138
