,comment,comment_id,reply_count,like_count,updated_at,calificacion
0.0,"Happy day 23, everyone!
One of the greatest lessons ever bestowed on me is one that has come time and time again. 
In every stage, in many, many forms.
It’s always the same. Someone whispers, or shouts…
Find the joy.
So tell me, my friends, what brings you joy?",UgxaHTpwjC8Rxv0IHGp4AaABAg,22.0,238.0,2019-01-24T14:01:04Z,0.9998286962509155
1.0,"Thank you for this, this journey has been truly healing❤️ Got on the mat today with my 8 month old. I was a bit worried but this has been one of my favorite practices 🥰",Ugzy_S87GmxbNgUfNml4AaABAg,0.0,0.0,2022-02-23T21:11:07Z,0.9978323578834534
2.0,Good morning Adrine thank you so much 🙏🙏❤️❤️🙏🙏,Ugzd_8Oj2H5yL8g0X-N4AaABAg,0.0,0.0,2022-01-24T04:40:49Z,0.9997668862342834
3.0,I laughed way too hard at all three of your jokes in this video🤣🤩❤️ i love u,UgwbAQMeDhXs9k3AjQJ4AaABAg,0.0,0.0,2021-12-09T16:12:05Z,-0.9949991703033447
4.0,I felt heavenly throughout!! Thank you so much Adrien,UgwrrjqWOcasM_R0bt94AaABAg,0.0,0.0,2021-11-23T01:44:28Z,0.999883770942688
5.0,😍🍊,Ugywj2T4ddLoD3zN2-x4AaABAg,0.0,0.0,2021-10-01T00:43:26Z,-0.6970567107200623
6.0,Am I the only one that is really turned off by hearing about how I should move with ease and find joy in something so painful and difficult?,UgzvWbw6BT4DsX1HgF54AaABAg,0.0,0.0,2021-09-23T13:53:07Z,-0.9870219826698303
7.0,"You rock, too! Thank you very much :) 
Much Love to you <3",UgzqzCbsZ2JhqA-aIJh4AaABAg,0.0,0.0,2021-09-23T09:57:37Z,0.9998812675476074
8.0,"It’s not ridiculous that breathing can be difficult, for some struggle with breathing (COPD).",UgzmI6nLjRIv-VCY7gl4AaABAg,0.0,0.0,2021-08-23T15:21:08Z,0.963991105556488
9.0,Today was my first day back after a 2week break. It's nice to be home 🥰,Ugx6LrqX_NkPAgvLrz94AaABAg,0.0,1.0,2021-07-26T06:58:56Z,0.9996176958084106
10.0,Thank you Adriene!❤😇,UgyMunYD5NIWA5agLz94AaABAg,0.0,0.0,2021-06-23T00:33:38Z,0.9998218417167664
11.0,"I was feeling really overwhelmed these past few weeks and hadn't had the chance to relax completely for a whole day. Not today either. But you know what? This practice truly helped me. I was focusing on letting go, enjoying the moments, I even cried a little. Because I was trying so hard to let go. But I don't need to try that hard. I will go do what I can to lift all the weight off my shoulders. When I finished this practice, I told myself: ""I'd like to repeat this right now"". Should I? Maybe I should listen, yes. Let's do this again. It had a truly deep and much needed impact on me. Thanks. Namaste🙏💛",Ugxw_NGyOtdJGZfpCr54AaABAg,0.0,3.0,2021-06-13T07:39:46Z,0.9993046522140503
12.0,real nice stretch,Ugyx_l5uK-CphljMiax4AaABAg,0.0,1.0,2021-06-11T23:47:31Z,0.9998175501823425
13.0,I love this practice can't remember how many times I did it and I'm still enjoying it ❤️thank you,UgwYTasLj9RLDTFqiFF4AaABAg,0.0,1.0,2021-05-26T21:33:27Z,0.9998183846473694
14.0,“If you’re wearing a mic pack...”. Love it!  🤣,UgwH_rU-VxthgwTFfUJ4AaABAg,0.0,2.0,2021-04-23T15:04:31Z,0.999824583530426
15.0,I did this January challenge in a sleepless blur (new baby care) and when I go through them now it’s like a whole new set of unfamiliar routines. 💖,UgyfsnZfWCXQ_Y8KNHt4AaABAg,0.0,1.0,2021-04-21T14:26:38Z,-0.9975482821464539
16.0,"YWA is like counseling, meditation and exercise all rolled into one.  ❤️💚💜💙",UgxuJD1pd7Fcym98RO14AaABAg,0.0,3.0,2021-04-17T18:30:05Z,-0.8443992733955383
