1000,comment,Prequalified sentiment,Information,Opinion,Advice,Impression,Progress,Exercise,Body,Video,Length,Reviewer
0,Hello and can I ask you if I can do also other workouts with this yoga? :),-0.8948682547,0.00,0.00,0.70,0.00,0.00,0.40,0.00,0.00,74,J
1,"As a person with Lyme Disease who is chronically ill, I'd like to let everyone out there know that her ""Morning Yoga"" video is waaaaay easier than her ""Yoga for Complete Beginners"" video. So if you want to start with her easiest one, start with her ""Morning Yoga"" one!! :) ",-0.992690742,0.50,0.30,0.90,0.00,0.00,0.40,0.00,0.60,273,J
2,lol przez tą blokadę na czacie czuje się jakbym był zbanowany... nieprzyjemnie się zrobiło tutaj.,-0.988673389,,,,,,,,,97,
3,Has anyone lost weight from this? ❤️,-0.9972082973,0.00,0.00,0.50,0.60,0.00,0.00,0.80,0.00,36,J
4,doing this to start my fourth year of university,0.9916568995,0.50,0.00,0.00,0.00,0.80,0.00,0.00,0.00,48,J
5,Simply love it thought I was in shape until this,0.9998163581,0.20,0.80,0.00,0.40,0.20,0.00,0.50,0.00,48,J
6,Super excited for the 30 days!!,0.9993578792,0.00,0.00,0.00,0.90,0.20,0.00,0.00,0.00,31,J
7,"I have been following your videos for awhile and decided to start #30daysofyoga  I love it I started sceptical and finished these days feeling refreshed, connected and overall a better version of myself. Thank you. Namaste",0.9996279478,0.30,0.30,0.00,0.50,0.80,0.00,0.40,0.00,222,J
8,"I am on Day 9 of 30 Days of Yoga! I am more than happy that I started this journey and more than thankful that you take the time to offer your videos to the public. In this short amount of time, I have already began integrating yoga into my day with easy effort. For awhile, it was hard for me to come to my mat. Last year, I started yoga in the late summer because I get terrible tension headaches from sitting at a desk all day! But in October, I had to have a small lump removed from my breast (no big deal, just hormonal!) and I couldn't practice for over a month. I sat and meditated but eventually the busy holiday season came around and I started neglecting myself. BUT last month, my sister noticed my struggle and she suggested your videos :) Your email is such a blessing in my inbox!! I get so excited to practice with you and it didn't take long for me to find out that yoga is a priority for me, not an option. THANK YOU SO MUCH ADRIENE!  Your flows are amazing and I love how you joke and kid, it makes the experience all the more enjoyable. I adore you :) Lots of 3> from a former Texan, currently in Colorado.",0.9987825751,0.60,0.80,0.00,0.70,0.80,0.00,0.00,0.60,1125,D
9,I really Like you :D ,0.9998534918,0.00,0.80,0.00,0.40,0.00,0.00,0.00,0.00,21,J
10,"Student here, wanting to lose weight but needing something I can do in my small student bedroom, as I really hate exercising in public. Decided I needed a real lifestyle change, and thought this would be the perfect place to start; I just did your ""yoga for complete beginners"" routine and started this straight after, and I'm looking forward to trying to stick to the whole 30 day challenge!",-0.779044807,0.60,0.00,0.00,0.40,0.40,0.40,0.00,0.00,392,J
11,in the final exercise I literally cried...  from no we're...  I was on the floor crying my eyes out...  😐,-0.9980159998,0.00,-0.20,0.00,-0.50,0.00,-0.40,0.00,0.00,106,J
12,hey quick question is your body supposed to ache a bit after doing yoga??. its just I already have back problems and don't want to make those problems worse by doing something wrong. sorry if this sounds really stupid. :-),-0.9981462955,0.00,0.00,0.20,-0.30,0.00,-0.10,-0.50,0.00,222,J
13,"I learned from you ! 
https://youtu.be/-zud0GS7zgI?list=PLRJqAEvmgEbhBh-nkhmpOCIFVH81iFeS6",-0.9802784324,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,90,J
14,"Day 1 complete! That was harder than I expected, but enjoyable ! My hips made quite a loud click on the side I extend my leg out (when doing bicycle crunch move), is that a problem?",0.9977065325,0.20,0.00,0.00,-0.40,0.70,-0.30,0.70,0.00,181,J
